Variable,Description,,,
Ingredient code,Identifies only NDB number,,,
Ingredient description,Description of NDB number,,,
Nutrient code,3-digit identification number,,,
Nutrient description,Description of nutrient or food component,,,
Nutrient value,Amount per 100 g edible portion for energy and 64 nutrients,,,
Nutrient value source,FDC or other source for nutrient value,,,
FDC ID,Identifier of food in FDC,,,
Derivation code,Derivation code as defined by FDC,,,
SR AddMod year,Year value added or last modified as defined by SR,,,
Foundation year acquired,Initial year acquired as defined by FDC,,,
